id,bill length (mm),bill depth (mm),flipper length (mm),body mass (g),species,sex,island,year
138,40.2,20.1,200,3975,Adelie,male,Dream,2009
139,37,16.5,185,3400,Adelie,female,Dream,2009
140,39.7,17.9,193,4250,Adelie,male,Dream,2009
141,40.2,17.1,193,3400,Adelie,female,Dream,2009
142,40.6,17.2,187,3475,Adelie,male,Dream,2009
143,32.1,15.5,188,3050,Adelie,female,Dream,2009
144,40.7,17,190,3725,Adelie,male,Dream,2009
145,37.3,16.8,192,3000,Adelie,female,Dream,2009
146,39,18.7,185,3650,Adelie,male,Dream,2009
147,39.2,18.6,190,4250,Adelie,male,Dream,2009
148,36.6,18.4,184,3475,Adelie,female,Dream,2009
149,36,17.8,195,3450,Adelie,female,Dream,2009
150,37.8,18.1,193,3750,Adelie,male,Dream,2009
151,36,17.1,187,3700,Adelie,female,Dream,2009
152,41.5,18.5,201,4000,Adelie,male,Dream,2009
153,46.1,13.2,211,4500,Gentoo,female,Biscoe,2007
154,50,16.3,230,5700,Gentoo,male,Biscoe,2007
155,48.7,14.1,210,4450,Gentoo,female,Biscoe,2007
156,50,15.2,218,5700,Gentoo,male,Biscoe,2007
157,47.6,14.5,215,5400,Gentoo,male,Biscoe,2007
158,46.5,13.5,210,4550,Gentoo,female,Biscoe,2007
159,45.4,14.6,211,4800,Gentoo,female,Biscoe,2007
160,46.7,15.3,219,5200,Gentoo,male,Biscoe,2007
161,43.3,13.4,209,4400,Gentoo,female,Biscoe,2007
162,46.8,15.4,215,5150,Gentoo,male,Biscoe,2007
163,40.9,13.7,214,4650,Gentoo,female,Biscoe,2007
164,49,16.1,216,5550,Gentoo,male,Biscoe,2007
165,45.5,13.7,214,4650,Gentoo,female,Biscoe,2007
166,48.4,14.6,213,5850,Gentoo,male,Biscoe,2007
167,45.8,14.6,210,4200,Gentoo,female,Biscoe,2007
168,49.3,15.7,217,5850,Gentoo,male,Biscoe,2007
169,42,13.5,210,4150,Gentoo,female,Biscoe,2007
170,49.2,15.2,221,6300,Gentoo,male,Biscoe,2007
171,46.2,14.5,209,4800,Gentoo,female,Biscoe,2007
172,48.7,15.1,222,5350,Gentoo,male,Biscoe,2007
173,50.2,14.3,218,5700,Gentoo,male,Biscoe,2007
174,45.1,14.5,215,5000,Gentoo,female,Biscoe,2007
175,46.5,14.5,213,4400,Gentoo,female,Biscoe,2007
176,46.3,15.8,215,5050,Gentoo,male,Biscoe,2007
177,42.9,13.1,215,5000,Gentoo,female,Biscoe,2007
178,46.1,15.1,215,5100,Gentoo,male,Biscoe,2007
179,44.5,14.3,216,4100,Gentoo,NA,Biscoe,2007
180,47.8,15,215,5650,Gentoo,male,Biscoe,2007
181,48.2,14.3,210,4600,Gentoo,female,Biscoe,2007
182,50,15.3,220,5550,Gentoo,male,Biscoe,2007
183,47.3,15.3,222,5250,Gentoo,male,Biscoe,2007
184,42.8,14.2,209,4700,Gentoo,female,Biscoe,2007
185,45.1,14.5,207,5050,Gentoo,female,Biscoe,2007
186,59.6,17,230,6050,Gentoo,male,Biscoe,2007
187,49.1,14.8,220,5150,Gentoo,female,Biscoe,2008
188,48.4,16.3,220,5400,Gentoo,male,Biscoe,2008
189,42.6,13.7,213,4950,Gentoo,female,Biscoe,2008
190,44.4,17.3,219,5250,Gentoo,male,Biscoe,2008
191,44,13.6,208,4350,Gentoo,female,Biscoe,2008
192,48.7,15.7,208,5350,Gentoo,male,Biscoe,2008
193,42.7,13.7,208,3950,Gentoo,female,Biscoe,2008
194,49.6,16,225,5700,Gentoo,male,Biscoe,2008
195,45.3,13.7,210,4300,Gentoo,female,Biscoe,2008
196,49.6,15,216,4750,Gentoo,male,Biscoe,2008
197,50.5,15.9,222,5550,Gentoo,male,Biscoe,2008
198,43.6,13.9,217,4900,Gentoo,female,Biscoe,2008
199,45.5,13.9,210,4200,Gentoo,female,Biscoe,2008
200,50.5,15.9,225,5400,Gentoo,male,Biscoe,2008
201,44.9,13.3,213,5100,Gentoo,female,Biscoe,2008
202,45.2,15.8,215,5300,Gentoo,male,Biscoe,2008
203,46.6,14.2,210,4850,Gentoo,female,Biscoe,2008
204,48.5,14.1,220,5300,Gentoo,male,Biscoe,2008
205,45.1,14.4,210,4400,Gentoo,female,Biscoe,2008
206,50.1,15,225,5000,Gentoo,male,Biscoe,2008
207,46.5,14.4,217,4900,Gentoo,female,Biscoe,2008
208,45,15.4,220,5050,Gentoo,male,Biscoe,2008
209,43.8,13.9,208,4300,Gentoo,female,Biscoe,2008
210,45.5,15,220,5000,Gentoo,male,Biscoe,2008
211,43.2,14.5,208,4450,Gentoo,female,Biscoe,2008
212,50.4,15.3,224,5550,Gentoo,male,Biscoe,2008
213,45.3,13.8,208,4200,Gentoo,female,Biscoe,2008
214,46.2,14.9,221,5300,Gentoo,male,Biscoe,2008
215,45.7,13.9,214,4400,Gentoo,female,Biscoe,2008
216,54.3,15.7,231,5650,Gentoo,male,Biscoe,2008
217,45.8,14.2,219,4700,Gentoo,female,Biscoe,2008
218,49.8,16.8,230,5700,Gentoo,male,Biscoe,2008
219,46.2,14.4,214,4650,Gentoo,NA,Biscoe,2008
220,49.5,16.2,229,5800,Gentoo,male,Biscoe,2008
221,43.5,14.2,220,4700,Gentoo,female,Biscoe,2008
222,50.7,15,223,5550,Gentoo,male,Biscoe,2008
223,47.7,15,216,4750,Gentoo,female,Biscoe,2008
224,46.4,15.6,221,5000,Gentoo,male,Biscoe,2008
225,48.2,15.6,221,5100,Gentoo,male,Biscoe,2008
226,46.5,14.8,217,5200,Gentoo,female,Biscoe,2008
227,46.4,15,216,4700,Gentoo,female,Biscoe,2008
228,48.6,16,230,5800,Gentoo,male,Biscoe,2008
229,47.5,14.2,209,4600,Gentoo,female,Biscoe,2008
230,51.1,16.3,220,6000,Gentoo,male,Biscoe,2008
231,45.2,13.8,215,4750,Gentoo,female,Biscoe,2008
232,45.2,16.4,223,5950,Gentoo,male,Biscoe,2008
233,49.1,14.5,212,4625,Gentoo,female,Biscoe,2009
234,52.5,15.6,221,5450,Gentoo,male,Biscoe,2009
235,47.4,14.6,212,4725,Gentoo,female,Biscoe,2009
236,50,15.9,224,5350,Gentoo,male,Biscoe,2009
237,44.9,13.8,212,4750,Gentoo,female,Biscoe,2009
238,50.8,17.3,228,5600,Gentoo,male,Biscoe,2009
239,43.4,14.4,218,4600,Gentoo,female,Biscoe,2009
240,51.3,14.2,218,5300,Gentoo,male,Biscoe,2009
241,47.5,14,212,4875,Gentoo,female,Biscoe,2009
242,52.1,17,230,5550,Gentoo,male,Biscoe,2009
243,47.5,15,218,4950,Gentoo,female,Biscoe,2009
244,52.2,17.1,228,5400,Gentoo,male,Biscoe,2009
245,45.5,14.5,212,4750,Gentoo,female,Biscoe,2009
246,49.5,16.1,224,5650,Gentoo,male,Biscoe,2009
247,44.5,14.7,214,4850,Gentoo,female,Biscoe,2009
248,50.8,15.7,226,5200,Gentoo,male,Biscoe,2009
249,49.4,15.8,216,4925,Gentoo,male,Biscoe,2009
250,46.9,14.6,222,4875,Gentoo,female,Biscoe,2009
251,48.4,14.4,203,4625,Gentoo,female,Biscoe,2009
252,51.1,16.5,225,5250,Gentoo,male,Biscoe,2009
253,48.5,15,219,4850,Gentoo,female,Biscoe,2009
254,55.9,17,228,5600,Gentoo,male,Biscoe,2009
255,47.2,15.5,215,4975,Gentoo,female,Biscoe,2009
256,49.1,15,228,5500,Gentoo,male,Biscoe,2009
257,47.3,13.8,216,4725,Gentoo,NA,Biscoe,2009
258,46.8,16.1,215,5500,Gentoo,male,Biscoe,2009
259,41.7,14.7,210,4700,Gentoo,female,Biscoe,2009
260,53.4,15.8,219,5500,Gentoo,male,Biscoe,2009
261,43.3,14,208,4575,Gentoo,female,Biscoe,2009
262,48.1,15.1,209,5500,Gentoo,male,Biscoe,2009
263,50.5,15.2,216,5000,Gentoo,female,Biscoe,2009
264,49.8,15.9,229,5950,Gentoo,male,Biscoe,2009
265,43.5,15.2,213,4650,Gentoo,female,Biscoe,2009
266,51.5,16.3,230,5500,Gentoo,male,Biscoe,2009
267,46.2,14.1,217,4375,Gentoo,female,Biscoe,2009
268,55.1,16,230,5850,Gentoo,male,Biscoe,2009
269,44.5,15.7,217,4875,Gentoo,NA,Biscoe,2009
270,48.8,16.2,222,6000,Gentoo,male,Biscoe,2009
271,47.2,13.7,214,4925,Gentoo,female,Biscoe,2009
272,NA,NA,NA,NA,Gentoo,NA,Biscoe,2009
273,46.8,14.3,215,4850,Gentoo,female,Biscoe,2009
274,50.4,15.7,222,5750,Gentoo,male,Biscoe,2009
275,45.2,14.8,212,5200,Gentoo,female,Biscoe,2009
276,49.9,16.1,213,5400,Gentoo,male,Biscoe,2009
277,46.5,17.9,192,3500,Chinstrap,female,Dream,2007
278,50,19.5,196,3900,Chinstrap,male,Dream,2007
279,51.3,19.2,193,3650,Chinstrap,male,Dream,2007
280,45.4,18.7,188,3525,Chinstrap,female,Dream,2007
281,52.7,19.8,197,3725,Chinstrap,male,Dream,2007
282,45.2,17.8,198,3950,Chinstrap,female,Dream,2007
283,46.1,18.2,178,3250,Chinstrap,female,Dream,2007
284,51.3,18.2,197,3750,Chinstrap,male,Dream,2007
285,46,18.9,195,4150,Chinstrap,female,Dream,2007
286,51.3,19.9,198,3700,Chinstrap,male,Dream,2007
287,46.6,17.8,193,3800,Chinstrap,female,Dream,2007
288,51.7,20.3,194,3775,Chinstrap,male,Dream,2007
289,47,17.3,185,3700,Chinstrap,female,Dream,2007
290,52,18.1,201,4050,Chinstrap,male,Dream,2007
291,45.9,17.1,190,3575,Chinstrap,female,Dream,2007
292,50.5,19.6,201,4050,Chinstrap,male,Dream,2007
293,50.3,20,197,3300,Chinstrap,male,Dream,2007
294,58,17.8,181,3700,Chinstrap,female,Dream,2007
295,46.4,18.6,190,3450,Chinstrap,female,Dream,2007
296,49.2,18.2,195,4400,Chinstrap,male,Dream,2007
297,42.4,17.3,181,3600,Chinstrap,female,Dream,2007
298,48.5,17.5,191,3400,Chinstrap,male,Dream,2007
299,43.2,16.6,187,2900,Chinstrap,female,Dream,2007
300,50.6,19.4,193,3800,Chinstrap,male,Dream,2007
301,46.7,17.9,195,3300,Chinstrap,female,Dream,2007
302,52,19,197,4150,Chinstrap,male,Dream,2007
303,50.5,18.4,200,3400,Chinstrap,female,Dream,2008
304,49.5,19,200,3800,Chinstrap,male,Dream,2008
305,46.4,17.8,191,3700,Chinstrap,female,Dream,2008
306,52.8,20,205,4550,Chinstrap,male,Dream,2008
307,40.9,16.6,187,3200,Chinstrap,female,Dream,2008
308,54.2,20.8,201,4300,Chinstrap,male,Dream,2008
309,42.5,16.7,187,3350,Chinstrap,female,Dream,2008
310,51,18.8,203,4100,Chinstrap,male,Dream,2008
311,49.7,18.6,195,3600,Chinstrap,male,Dream,2008
312,47.5,16.8,199,3900,Chinstrap,female,Dream,2008
313,47.6,18.3,195,3850,Chinstrap,female,Dream,2008
314,52,20.7,210,4800,Chinstrap,male,Dream,2008
315,46.9,16.6,192,2700,Chinstrap,female,Dream,2008
316,53.5,19.9,205,4500,Chinstrap,male,Dream,2008
317,49,19.5,210,3950,Chinstrap,male,Dream,2008
318,46.2,17.5,187,3650,Chinstrap,female,Dream,2008
319,50.9,19.1,196,3550,Chinstrap,male,Dream,2008
320,45.5,17,196,3500,Chinstrap,female,Dream,2008
321,50.9,17.9,196,3675,Chinstrap,female,Dream,2009
322,50.8,18.5,201,4450,Chinstrap,male,Dream,2009
323,50.1,17.9,190,3400,Chinstrap,female,Dream,2009
324,49,19.6,212,4300,Chinstrap,male,Dream,2009
325,51.5,18.7,187,3250,Chinstrap,male,Dream,2009
326,49.8,17.3,198,3675,Chinstrap,female,Dream,2009
327,48.1,16.4,199,3325,Chinstrap,female,Dream,2009
328,51.4,19,201,3950,Chinstrap,male,Dream,2009
329,45.7,17.3,193,3600,Chinstrap,female,Dream,2009
330,50.7,19.7,203,4050,Chinstrap,male,Dream,2009
331,42.5,17.3,187,3350,Chinstrap,female,Dream,2009
332,52.2,18.8,197,3450,Chinstrap,male,Dream,2009
333,45.2,16.6,191,3250,Chinstrap,female,Dream,2009
334,49.3,19.9,203,4050,Chinstrap,male,Dream,2009
335,50.2,18.8,202,3800,Chinstrap,male,Dream,2009
336,45.6,19.4,194,3525,Chinstrap,female,Dream,2009
337,51.9,19.5,206,3950,Chinstrap,male,Dream,2009
338,46.8,16.5,189,3650,Chinstrap,female,Dream,2009
339,45.7,17,195,3650,Chinstrap,female,Dream,2009
340,55.8,19.8,207,4000,Chinstrap,male,Dream,2009
341,43.5,18.1,202,3400,Chinstrap,female,Dream,2009
342,49.6,18.2,193,3775,Chinstrap,male,Dream,2009
343,50.8,19,210,4100,Chinstrap,male,Dream,2009
344,50.2,18.7,198,3775,Chinstrap,female,Dream,2009
